1,1,0.520074,0.521194,0.997852
1,2,0.532481,0.276994,1.92236
1,3,0.603338,0.374402,1.61147
1,4,0.288907,0.121438,2.37906
1,5,0.427884,0.17713,2.41565
1,6,0.591539,0.19591,3.01944
1,7,0.610179,0.191588,3.18485
1,8,0.424881,0.113096,3.75681
1,9,0.540124,0.132136,4.08763
1,10,0.531472,0.110771,4.79792
1,11,0.287481,0.0596864,4.81653
1,12,0.583099,0.108296,5.38431
1,24,0.536599,0.0720696,7.44557
2,1,0.399523,0.391464,1.02059
2,2,0.341747,0.200452,1.70488
2,3,0.285165,0.127891,2.22976
2,4,0.256202,0.0954431,2.68434
2,5,0.293931,0.0964319,3.04807
2,6,0.378641,0.105808,3.57856
2,7,0.344571,0.0881034,3.91098
2,8,0.239427,0.0539937,4.43435
2,9,0.289855,0.0597716,4.84937
2,10,0.246969,0.0455824,5.41808
2,11,0.28643,0.0498361,5.74743
2,12,0.402821,0.065091,6.18858
2,24,0.351457,0.0410029,8.57152

